source_id," first_author"," year"," doi"," data_type"," material_type"," section_types"," n_specimens"," n_included"," n_source"," boundary_conditions"," imperfection_reported"," failure_mode_reported"," study_id_notes"," judgement_calls"
afshan2013,S. Afshan,2013,10.1061/(ASCE)ST.1943-541X.0000580,Experimental,Cold-formed ferritic stainless steel (EN 1.4003 and EN 1.4509),"SHS,RHS",31,<=15**,measured,pin-pin,"Yes, w0 and v0",No,,Some specimens failed by combined local and overall buckling so interactive failures need to be reviewed
behzadi2021,B. Behzadi-Sofiani,2021,10.1016/j.engstruct.2021.113281,Both,"Hot-rolled austenitic, duplex, ferritic (EN 1.4307)",Angle,1151,5,measured,fixed-fixed,yes,yes,1 experimental batch (behzadi2021_A) comprising all 5 physical column tests. They share the exact same hot-rolled 70×70×10 cross-section profile and physical coupon test results,"FEA rows excluded at this stage, Derived Le using k-0.5. This study uses equal-angle sections which introudces asymmetric cross-section nature --> may not be relevant in later stages"
theofanous2009,M. Theofanous,2009,10.1016/j.engstruct.2009.08.004,Both,lean_duplex,"SHS, RHS",20 (excl. FEA),,measured,pin-pin,yes,yes,4 batches cleanly separated by the four tested cross-section sizes (theofanous2009_A through D). theofanous2009_A contained only stub columns and was fully excluded,"Prioritised compressive flat material properties over tensile for extraction. Excluded all 8 stub columns because they failed by pure local buckling. FEA excluded for now, raw w0 was recorded however, a combined loading e was enforced to ensure minimum total effective imperfection was L/1500."
huang2013,Y. Huang,2013,10.1016/j.jcsr.2013.01.001,Experimental,lean_duplex,"SHS, RHS",38,16,derived,pin-pin,yes,yes,6 distinct batches (huang2013_A through F) corresponding to the 6 tested cross-section profiles. All specimens in huang_F compeltely excluded due to failure_mode,"n_source = derived, 22 specimens included due to yielding, interactive mode or local buckling failure, extracted material properties from tensile flat coupons, swapped b and h dimensions so h remains parallel to the buckling axis, Le populated with reported values, converted L/delta to raw w0 values in mm, Authors recorded an additional test setup eccentricity (e), meaning the physical columns experienced a total effective imperfection (e+δ) somewhat larger than the raw natural bow w0​ captured here."
buchanan2018,C. Buchanan,2018,10.1016/j.tws.2018.05.006,Both,"austenitic, duplex, ferritic",CHS,497,34,measured,pin-pin,yes,yes,"6 distinct batches (buchanan2018_A through F) cleanly separated by cross-section size, grade and tube origin","Mapped outer diameter D to b and left h null, prioritised compressive stub column material properties over tensile coupons for primary parameters, excluded all 10 stub columns, all 450 FEA models and 3 very short pin-ended ferritic columns that failed by premature local buckling"
ning2021,K. Ning,2021,10.1016/j.jcsr.2021.106579,Both,duplex,CHS,122,7,measured,pin-pin,yes,yes,"2 distinct physical material batches (ning2021_A and ning2021_B) corresponding to the 2 tested hot-rolled CHS nominal sizes (114×6 and 219×6), as each shares a unique set of averaged tensile coupon results. All 115 FEA models were excluded ","Assigned buckling_axis as - due to perfectly symmetric CHS profiles. Mapped outer diameter D to b and left h null to trigger downstream circular calculations. Extracted material properties from tensile flat coupons rather than compressive properties, as no compressive tests were performed. Excluded all 115 FEA models to prevent artificial dataset inflation and leakage across train/test splits. Stage 2 Flag: The authors determined the average applied loading eccentricity e, natural bow δ0, and total equivalent initial eccentricity eEq. Recorded δ0 as w0, e as we, and eEq as wtotal; the Stage 2 ML model must use this combined wtotal value."
rasmussen1993,K. Rasmussen,1993,"
10.1061/(ASCE)0733-9445(1993)119:8(2349)",Experimental,austenitic,"SHS, CHS",20,16,measured,pin-pin,yes,yes,2 batches --> rasmussen1993_A for SHS and rasmussen1993_B for CHS,"
Prioritised compressive stub column material properties over individual tensile flat coupons to accurately capture the composite compressive stiffness. Assigned buckling_axis as - due to geometrically symmetric SHS and CHS profiles. Left h null for CHS. Computed effective length programmatically (Le​=L+450 mm) based on the test bearings adding 225 mm to each end. Excluded all 4 stub columns. Stage 2 Flag: Authors explicitly tested half the columns concentrically and half eccentrically. Mapped the measured natural bow v0​ to w0, the applied nominal eccentricity e0​ to we (acting against the natural bow), and the combined effective distance from the line of action"
yuan2015,H. Yuan,2015,10.1016/j.jcsr.2015.04.003,Both,"austenitic, duplex",I,352,10,measured,pin-pin,yes,yes,2 distinct physical material batches (yuan2015_A for Austenitic 1.4301 and yuan2015_B for Duplex 1.4462) separated by grade each sharing a unique set of Longitudinal Tension (LT) coupon results.,"Extracted primary material properties only from Longitudinal Tension LT flat coupons. Set buckling_axis to minor. Removed all 342 parametric FEA models to avoid data leakage and avoid artificially increasing the dataset size.
Stage 2 Flag: Converted the paper’s global curvature v0 to w0 converted load eccentricity ec to w_e and converted equivalent initial eccentricity eEq to w_total while deliberately ignoring the paper’s local imperfection amplitude w0. Set failure_mode to interactive for all 10 extracted rows because local overall interactive buckling was the clear and observed failure mechanism."
young2002,B. Young,2002,10.1061/~ASCE!0733-9445~2002!128:6~754!,Experimental,austenitic,CHS,16,12,measured,fixed-fixed,yes,no,Three distinct physical material batches were used young2002_A for Series C1 young2002_B for Series C2 and young2002_C for Series C3. These were cleanly separated by cross section series and each batch shared a unique set of stub column material properties.,"Prioritised compressive stub column parameters over tensile coupons to capture composite compressive stiffness accurately. Set buckling_axis to a dash because CHS profiles are fully symmetric. Computed the effective length automatically using Le = 0.5 × L based on fixed fixed boundary conditions. Removed all four stub columns. Failure modes for individual long columns were not listed explicitly by the authors and were only grouped loosely in the text so they were left for the inferred_failure_mode script to classify using Eurocode limits.
Stage 2 Flag: Converted the tabulated delta over L ratios to w0 by multiplying by L. Set w_e to zero because the bearings were locked for full contact with no applied eccentricity which made w_total equal to w0
"
yang2016,L. Yang,2016,"
10.1016/j.tws.2016.03.014",Both,"Austenitic, duplex",SHS,12,12,measured,pin-pin,yes,yes,Two distinct physical material batches were used yang2016_A for Austenitic S304 and yang2016_B for Duplex S2205. These were cleanly separated by material grade and each batch shared a unique set of tensile coupon results.,"Extracted material properties exclusively from flat tensile coupons as compressive tests were not conducted. Set failure_mode to global_flexural for all tests based on clear physical observation which directly overrode the theoretical Eurocode Class 4 classification for the slender sections. Mapped effective length Le to the authors L t column to account for hinge dimensions. Removed all FEA models to prevent data leakage.
Stage 2 Flag: Mapped w_0 to the maximum initial bow δ0. Calculated w_e programmatically as the average of the top and bottom loading eccentricities e0b plus e0t divided by two. Computed w_total as w_0 plus w_e."
